freqs,channel,p1,chi2
93.75,11,5.2216,77.4578
93.75,12,0.1814,454.7616
93.75,13,0.1134,1.0846
93.75,14,0.1152,1.1129
93.75,15,4.5065,86.8531
95.7031,0,0.1858,7.2955
95.7031,1,0.1225,1.4823
95.7031,2,0.1666,1.2746
95.7031,3,4.2993,90.1935
95.7031,4,0.1663,22.0994
95.7031,5,0.1512,1.015
95.7031,6,0.0837,2.1031
95.7031,7,5.014,102.083
95.7031,8,0.1673,56.1169
95.7031,9,0.118,8.5476
95.7031,10,0.1507,0.9765
95.7031,11,5.2656,83.8817
95.7031,12,0.1835,371.6321
95.7031,13,0.1303,6.9239
95.7031,14,0.1246,1.2916
95.7031,15,4.5814,105.077
97.6562,0,0.21,5.8294
97.6562,1,0.1359,1.4879
97.6562,2,0.1784,1.206
97.6562,3,4.1292,78.6809
97.6562,4,0.1802,29.385
97.6562,5,0.1699,7.7904
97.6562,6,0.1008,47.2984
97.6562,7,4.9129,83.9964
97.6562,8,0.1869,49.9281
97.6562,9,0.1441,86.7729
97.6562,10,0.1609,1.0236
97.6562,11,5.2526,81.6932
97.6562,12,0.1986,443.8728
97.6562,13,0.1525,22.5781
97.6562,14,0.1357,2.4086
97.6562,15,4.4854,86.5436
99.6094,0,0.2272,13.7313
99.6094,1,0.1449,8.0746
99.6094,2,0.1855,2.0547
99.6094,3,4.0107,72.311
99.6094,4,0.1948,38.8704
99.6094,5,0.1819,24.4072
99.6094,6,0.1102,217.9934
99.6094,7,4.8883,75.8384
99.6094,8,0.2065,55.3664
99.6094,9,0.1573,361.8771
99.6094,10,0.1646,1.4615
99.6094,11,5.2675,102.4743
99.6094,12,0.2159,530.4346
99.6094,13,0.1658,8.4089
99.6094,14,0.1412,1.1552
99.6094,15,4.741,105.3079
101.5625,0,0.2258,18.7766
